直播id,直播开始时间,直播结束时间,GPM,9990,累计观看人数,新增粉丝数,999,整体成单率,直播间评论次数,直播间分享次数,整体下单率,整体下单数,直播间平均成单金额(元),直播间新加团人数,直播间商品点击次数,直播间查看购物车次数,直播间打赏次数,消耗(元),广告GPM(元),广告ROI,广告成交金额(元),广告成单数,广告成单率,广告点击次数,广告点击率,平均千次展现费用(元),广告下单数,广告下单率,广告点击单价(元),广告转化率,广告转化数,广告转化成本(元),广告平均成单金额(元),广告引导超1分钟观看人数
7.11E+18,1656478581,1656496608,1997.01,32425.41,16237,427,646,6.27,1187,9,7.35,757,50.19,10,9365,8526,77,9006.03,2108.06,2.4,21643.43,466,4.52,10306,2.11,18.42,545,5.29,0.87,3.76,387,23.27,46.45,2474
7.11E+18,1656586504,1656604551,2195.46,69870.44,31825,1060,1485,6.81,2104,29,7.92,1727,47.05,25,17577,15770,158,21048.4,2442.15,2.66,56044.84,1226,5.62,21808,2.32,22.44,1414,6.48,0.97,4.68,1021,20.62,45.71,5373
7.11E+18,1656564924,1656582973,2538.7,49080.63,19333,931,1104,8.82,1544,28,10.57,1323,44.46,13,14457,12888,102,13993.25,2986.6,2.7,37828.29,897,7.17,12511,1.93,21.59,1077,8.61,1.12,5.59,699,20.02,42.17,3678
7.12E+18,1656672911,1656690927,1923.06,84674.2,44031,1220,1703,5.16,2846,48,5.96,1965,49.72,24,20317,19424,213,25220.47,2011.03,2.73,68871.8,1439,4.36,32982,2.57,19.68,1660,5.03,0.76,3.66,1207,20.9,47.86,7867
7.12E+18,1656651370,1656669400,2144.25,40084.7,18694,681,867,7.19,1468,10,8.6,1037,46.23,25,12001,10549,112,12154.85,2400.38,2.45,29788.7,672,5.57,12054,2.31,23.27,814,6.75,1.01,4.55,548,22.18,44.33,3287
7.12E+18,1656759312,1656777327,2525.73,74456.1,29479,650,900,4.59,1663,22,5.34,1047,82.73,14,14802,15046,156,19361.91,2909.62,2.98,57703.6,696,3.55,19601,2.28,22.55,814,4.15,0.99,3.05,597,32.43,82.91,4407
7.12E+18,1656737712,1656755786,2298.16,45625.3,19853,604,678,5.04,1544,9,6.29,846,67.29,12,11876,10882,97,12117.48,2701.4,3.08,37336.1,559,4.15,13459,2,17.97,694,5.16,0.9,3.34,449,26.99,66.79,3267
7.12E+18,1656845711,1656863729,3175.08,100564.36,31673,915,1261,5.73,2259,23,6.6,1453,79.75,23,20799,19698,185,30884.43,3619.47,2.6,80417.4,1019,4.63,22022,1.91,26.73,1169,5.31,1.4,3.94,867,35.62,78.92,5475
7.12E+18,1656924916,1656939475,2379.02,23849.64,10025,183,312,5.83,808,2,6.84,366,76.44,3,4384,4575,44,5788.02,2515.96,2.23,12919.44,186,3.48,5351,2.36,25.48,225,4.2,1.08,3.03,162,35.73,69.46,1194
7.12E+18,1656910513,1656914157,1102.58,3081.7,2795,35,53,5.2,152,5,7.56,77,58.15,1,1112,1183,10,720.82,1616.32,2.16,1554.9,23,2.26,1019,2.63,18.59,29,2.85,0.71,2.06,21,34.32,67.6,235
